Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,Elements
0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,791.75824,782.0879,778.0586,789.34064,
0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,798.20514,788.93774,776.8498,801.02563,
0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,794.9817,782.49084,774.83514,803.8461,
0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,786.52014,778.46155,777.6557,799.41394,
0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,787.72894,780.4762,776.8498,792.5641,
0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,793.36993,782.8938,772.4176,776.4469,
0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,792.5641,782.49084,776.8498,779.67035,
0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,792.5641,778.46155,779.67035,786.9231,
0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,794.9817,780.87915,786.52014,787326,
0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,795.78754,787.72894,791.3553,793.36993,
0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,797.8022,790.14655,793.36993,800.2198,
0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,796.5934,788.1319,792.1612,792.96704,
0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,792.1612,782.49084,785.7143,790.9524,
0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,784.90845,780.07324,778.86444,792.1612,
0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,784.5055,780.4762,780.4762,790.9524,
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,784.5055,780.87915,784.10254,792.96704,
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,783.2967,778.86444,778.86444,791.75824,
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,794.17584,780.87915,778.86444,795.78754,
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,795.78754,778.86444,774.0293,795.78754,
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,789.7436,783.2967,778.46155,798.60803,
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,791.75824,788.5348,787.72894,796.5934,
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,791.75824,780.07324,784.10254,791.3553,
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,795.78754,776.8498,788.93774,801.8315,
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,794.9817,780.87915,794.17584,803.0403,
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,794.57874,782.8938,788.1319,790.9524,
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,799.81683,783.2967,779.67035,792.5641,
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,793.36993,785.7143,777.25275,796.99634,
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,790.54944,785.31134,767.5824,796.99634,
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,792.1612,780.87915,762.3443,799.41394,
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,793.7729,776.8498,776.4469,796.1905,
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,791.3553,777.6557,782.49084,789.34064,
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,785.7143,779.2674,787326,794.57874,
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,791.3553,784.90845,794.57874,804.65204,
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,799.81683,787.72894,784.90845,807.47253,
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,792.96704,783.69965,777.6557,801.02563,
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,784.90845,779.2674,776.4469,792.5641,
0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,781685,775.64105,767.98535,791.75824,
