Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,Elements
0.7283103,0.5154785,0.7360437,0.3975329,0.5102684,0.28815144,0.84521395,0.58843845,0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,0.07099542,-0.3207996,0.23482455,0.18581557,791.75824,782.0879,778.0586,789.34064,-0.17822265625,-0.02264404296875,1.00079345703125,1.65985107421875,-4.41131591796875,-1.592559814453125,
0.7283103,0.5154785,0.7360437,0.3975329,0.5102684,0.28815144,0.84521395,0.58843845,0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,0.07099542,-0.3207996,0.23482455,0.18581557,798.20514,788.93774,776.8498,801.02563,-0.17822265625,-0.02264404296875,1.00079345703125,1.65985107421875,-4.41131591796875,-1.592559814453125,
0.7283103,0.5154785,0.7360437,0.3975329,0.5102684,0.28815144,0.84521395,0.58843845,0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,0.07099542,-0.3207996,0.23482455,0.18581557,794.9817,782.49084,774.83514,803.8461,-0.17822265625,-0.02264404296875,1.00079345703125,1.65985107421875,-4.41131591796875,-1.592559814453125,
0.7283103,0.5154785,0.7360437,0.3975329,0.5102684,0.28815144,0.84521395,0.58843845,0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,0.07099542,-0.3207996,0.23482455,0.18581557,786.52014,778.46155,777.6557,799.41394,-0.17822265625,-0.02264404296875,1.00079345703125,1.65985107421875,-4.41131591796875,-1.592559814453125,
0.7283103,0.5154785,0.7360437,0.3975329,0.5102684,0.28815144,0.84521395,0.58843845,0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,0.07099542,-0.3207996,0.23482455,0.18581557,787.72894,780.4762,776.8498,792.5641,-0.17822265625,-0.02264404296875,1.00079345703125,1.65985107421875,-4.41131591796875,-1.592559814453125,
0.7283103,0.5154785,0.7360437,0.3975329,0.5102684,0.28815144,0.84521395,0.58843845,0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,0.07099542,-0.3207996,0.23482455,0.18581557,793.36993,782.8938,772.4176,776.4469,-0.17822265625,-0.02264404296875,1.00079345703125,1.65985107421875,-4.41131591796875,-1.592559814453125,
0.7283103,0.5154785,0.7360437,0.3975329,0.5102684,0.28815144,0.84521395,0.58843845,0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,0.07099542,-0.3207996,0.23482455,0.18581557,792.5641,782.49084,776.8498,779.67035,-0.17822265625,-0.02264404296875,1.00079345703125,1.65985107421875,-4.41131591796875,-1.592559814453125,
0.7283103,0.5154785,0.7360437,0.3975329,0.5102684,0.28815144,0.84521395,0.58843845,0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,0.07099542,-0.3207996,0.23482455,0.18581557,792.5641,778.46155,779.67035,786.9231,-0.17822265625,-0.02264404296875,1.00079345703125,1.65985107421875,-4.41131591796875,-1.592559814453125,
0.7283103,0.5154785,0.7360437,0.3975329,0.5102684,0.28815144,0.84521395,0.58843845,0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,0.07099542,-0.3207996,0.23482455,0.18581557,794.9817,780.87915,786.52014,787326,-0.17822265625,-0.02264404296875,1.00079345703125,1.65985107421875,-4.41131591796875,-1.592559814453125,
0.7283103,0.5154785,0.7360437,0.3975329,0.5102684,0.28815144,0.84521395,0.58843845,0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,0.07099542,-0.3207996,0.23482455,0.18581557,795.78754,787.72894,791.3553,793.36993,-0.17822265625,-0.02264404296875,1.00079345703125,1.65985107421875,-4.41131591796875,-1.592559814453125,
0.7283103,0.5154785,0.7360437,0.3975329,0.5102684,0.28815144,0.84521395,0.58843845,0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,0.07099542,-0.3207996,0.23482455,0.18581557,797.8022,790.14655,793.36993,800.2198,-0.17822265625,-0.02264404296875,1.00079345703125,1.65985107421875,-4.41131591796875,-1.592559814453125,
0.7283103,0.5154785,0.7360437,0.3975329,0.5102684,0.28815144,0.84521395,0.58843845,0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,0.07099542,-0.3207996,0.23482455,0.18581557,796.5934,788.1319,792.1612,792.96704,-0.17822265625,-0.02264404296875,1.00079345703125,1.65985107421875,-4.41131591796875,-1.592559814453125,
0.7283103,0.5154785,0.7360437,0.3975329,0.5102684,0.28815144,0.84521395,0.58843845,0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,0.07099542,-0.3207996,0.23482455,0.18581557,792.1612,782.49084,785.7143,790.9524,-0.17822265625,-0.02264404296875,1.00079345703125,1.65985107421875,-4.41131591796875,-1.592559814453125,
0.7283103,0.5154785,0.7360437,0.3975329,0.5102684,0.28815144,0.84521395,0.58843845,0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,0.07099542,-0.3207996,0.23482455,0.18581557,784.90845,780.07324,778.86444,792.1612,-0.17822265625,-0.02264404296875,1.00079345703125,1.65985107421875,-4.41131591796875,-1.592559814453125,
0.7283103,0.5154785,0.7360437,0.3975329,0.5102684,0.28815144,0.84521395,0.58843845,0.7091843,0.6996393,0.6582334,1.0497966,0.525109,0.2422642,0.57593274,0.52261853,0.07099542,-0.3207996,0.23482455,0.18581557,784.5055,780.4762,780.4762,790.9524,-0.17822265625,-0.02264404296875,1.00079345703125,1.65985107421875,-4.41131591796875,-1.592559814453125,
0.7114597,0.5434329,0.72754025,0.38166907,0.5395488,0.29168108,0.86642367,0.59180856,0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,0.086921245,-0.3253867,0.24374323,0.19998553,784.5055,780.87915,784.10254,792.96704,-0.17822265625,-0.02264404296875,1.00079345703125,1.65985107421875,-4.41131591796875,-1.592559814453125,
0.7114597,0.5434329,0.72754025,0.38166907,0.5395488,0.29168108,0.86642367,0.59180856,0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,0.086921245,-0.3253867,0.24374323,0.19998553,783.2967,778.86444,778.86444,791.75824,-0.17822265625,-0.02264404296875,1.00079345703125,1.65985107421875,-4.41131591796875,-1.592559814453125,
0.7114597,0.5434329,0.72754025,0.38166907,0.5395488,0.29168108,0.86642367,0.59180856,0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,0.086921245,-0.3253867,0.24374323,0.19998553,794.17584,780.87915,778.86444,795.78754,-0.17822265625,-0.02264404296875,1.00079345703125,1.65985107421875,-4.41131591796875,-1.592559814453125,
0.7114597,0.5434329,0.72754025,0.38166907,0.5395488,0.29168108,0.86642367,0.59180856,0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,0.086921245,-0.3253867,0.24374323,0.19998553,795.78754,778.86444,774.0293,795.78754,-0.17822265625,-0.02264404296875,1.00079345703125,1.65985107421875,-4.41131591796875,-1.592559814453125,
0.7114597,0.5434329,0.72754025,0.38166907,0.5395488,0.29168108,0.86642367,0.59180856,0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,0.086921245,-0.3253867,0.24374323,0.19998553,789.7436,783.2967,778.46155,798.60803,-0.17822265625,-0.02264404296875,1.00079345703125,1.65985107421875,-4.41131591796875,-1.592559814453125,
0.7114597,0.5434329,0.72754025,0.38166907,0.5395488,0.29168108,0.86642367,0.59180856,0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,0.086921245,-0.3253867,0.24374323,0.19998553,791.75824,788.5348,787.72894,796.5934,-0.17822265625,-0.02264404296875,1.00079345703125,1.65985107421875,-4.41131591796875,-1.592559814453125,
0.7114597,0.5434329,0.72754025,0.38166907,0.5395488,0.29168108,0.86642367,0.59180856,0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,0.086921245,-0.3253867,0.24374323,0.19998553,791.75824,780.07324,784.10254,791.3553,-0.17822265625,-0.02264404296875,1.00079345703125,1.65985107421875,-4.41131591796875,-1.592559814453125,
0.7114597,0.5434329,0.72754025,0.38166907,0.5395488,0.29168108,0.86642367,0.59180856,0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,0.086921245,-0.3253867,0.24374323,0.19998553,795.78754,776.8498,788.93774,801.8315,-0.17822265625,-0.02264404296875,1.00079345703125,1.65985107421875,-4.41131591796875,-1.592559814453125,
0.7114597,0.5434329,0.72754025,0.38166907,0.5395488,0.29168108,0.86642367,0.59180856,0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,0.086921245,-0.3253867,0.24374323,0.19998553,794.9817,780.87915,794.17584,803.0403,-0.17822265625,-0.02264404296875,1.00079345703125,1.65985107421875,-4.41131591796875,-1.592559814453125,
0.7114597,0.5434329,0.72754025,0.38166907,0.5395488,0.29168108,0.86642367,0.59180856,0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,0.086921245,-0.3253867,0.24374323,0.19998553,794.57874,782.8938,788.1319,790.9524,-0.172607421875,-0.02630615234375,0.99053955078125,1.07666015625,-5.061798095703125,-2.220611572265625,
0.7114597,0.5434329,0.72754025,0.38166907,0.5395488,0.29168108,0.86642367,0.59180856,0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,0.086921245,-0.3253867,0.24374323,0.19998553,799.81683,783.2967,779.67035,792.5641,-0.172607421875,-0.02630615234375,0.99053955078125,1.07666015625,-5.061798095703125,-2.220611572265625,
0.7114597,0.5434329,0.72754025,0.38166907,0.5395488,0.29168108,0.86642367,0.59180856,0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,0.086921245,-0.3253867,0.24374323,0.19998553,793.36993,785.7143,777.25275,796.99634,-0.172607421875,-0.02630615234375,0.99053955078125,1.07666015625,-5.061798095703125,-2.220611572265625,
0.7114597,0.5434329,0.72754025,0.38166907,0.5395488,0.29168108,0.86642367,0.59180856,0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,0.086921245,-0.3253867,0.24374323,0.19998553,790.54944,785.31134,767.5824,796.99634,-0.172607421875,-0.02630615234375,0.99053955078125,1.07666015625,-5.061798095703125,-2.220611572265625,
0.7114597,0.5434329,0.72754025,0.38166907,0.5395488,0.29168108,0.86642367,0.59180856,0.6945392,0.6996393,0.5915253,1.0497966,0.5474442,0.24236993,0.58539796,0.54142153,0.086921245,-0.3253867,0.24374323,0.19998553,792.1612,780.87915,762.3443,799.41394,-0.172607421875,-0.02630615234375,0.99053955078125,1.07666015625,-5.061798095703125,-2.220611572265625,
