EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-9.897,0.432,3.251,-7.602,-2.333,9.244,-1.006,-6.522,-0.031,1.011,-0.135,-2.014,0.488,1.465,73.333,30633.000,1.000
-8.017,1.176,-1.049,-5.426,-1.139,4.714,-1.225,-12.646,-0.032,1.011,-0.137,-2.106,0.336,1.526,73.333,30634.000,1.000
-4.246,1.493,-5.227,-1.384,1.431,-0.182,-1.634,-17.468,-0.032,1.012,-0.137,-2.167,0.458,1.526,73.333,30635.000,1.000
0.840,1.437,-8.785,3.898,5.187,-4.711,-1.688,-19.957,-0.032,1.011,-0.136,-2.106,0.366,1.465,73.333,30636.000,1.000
6.678,2.038,-11.369,9.257,9.272,-7.796,-0.076,-19.635,-0.032,1.009,-0.136,-2.136,0.397,1.556,73.333,30637.000,1.000
12.286,3.875,-12.699,13.689,12.777,-9.157,3.426,-16.973,-0.034,1.010,-0.137,-2.136,0.244,1.648,73.333,30638.000,1.000
16.246,6.061,-12.816,16.631,15.055,-9.706,7.112,-13.244,-0.031,1.009,-0.139,-2.045,0.275,1.526,73.333,30639.000,1.000
17.711,7.295,-12.118,17.895,15.767,-10.394,9.116,-9.577,-0.031,1.009,-0.137,-2.014,0.275,1.526,73.333,30640.000,1.000
17.305,7.541,-11.158,17.574,14.898,-11.004,9.697,-6.091,-0.031,1.011,-0.133,-2.075,0.244,1.587,73.333,30641.000,1.000
16.401,7.661,-10.610,15.806,12.579,-10.722,10.765,-2.168,-0.028,1.010,-0.133,-2.106,0.275,1.587,73.333,30642.000,1.000
15.587,7.723,-11.059,12.734,9.021,-9.594,13.184,2.634,-0.028,1.008,-0.133,-2.258,0.275,1.648,73.333,30643.000,1.000
14.411,6.711,-12.541,8.849,4.759,-8.658,15.592,8.167,-0.029,1.005,-0.136,-2.136,0.214,1.678,73.333,30644.000,1.000
12.479,3.940,-14.511,5.010,0.578,-8.737,16.097,13.790,-0.031,1.004,-0.135,-2.258,0.153,1.709,73.333,30645.000,1.000
10.250,0.102,-16.225,1.891,-2.981,-9.587,14.396,18.554,-0.031,1.003,-0.137,-2.136,0.122,1.648,73.333,30646.000,1.000
8.515,-3.477,-17.004,-0.396,-5.860,-10.309,11.645,21.459,-0.032,1.004,-0.137,-2.106,0.061,1.617,73.333,30647.000,1.000
7.222,-6.482,-16.387,-2.188,-8.253,-10.326,8.477,21.736,-0.030,1.004,-0.137,-2.075,-0.031,1.648,73.333,30648.000,1.000
5.337,-9.874,-14.221,-3.889,-10.204,-9.557,4.154,19.291,-0.031,1.003,-0.137,-2.014,0.000,1.587,73.333,30649.000,1.000
2.204,-14.234,-10.547,-5.577,-11.370,-7.720,-1.764,15.176,-0.030,1.004,-0.137,-2.045,-0.122,1.526,73.333,30650.000,1.000
