EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
20.557,14.384,22.312,114.181,65.655,54.288,51.900,27.838,-0.134,0.735,0.672,-1.587,-0.153,-0.488,86.667,15913.000,1.000
-5.554,0.602,8.693,88.440,45.978,35.619,29.834,14.345,-0.138,0.736,0.671,-1.495,-0.427,-0.580,86.667,15914.000,1.000
-44.336,-19.018,-12.673,6.107,1.596,-4.959,-19.568,-7.430,-0.136,0.735,0.670,-1.495,-0.732,-0.610,86.667,15915.000,1.000
-85.851,-38.637,-35.848,-122.224,-57.371,-58.065,-86.082,-31.099,-0.141,0.736,0.670,-1.556,-0.977,-0.732,86.667,15916.000,1.000
-116.767,-51.726,-54.159,-268.850,-115.378,-109.435,-151.385,-49.602,-0.145,0.734,0.669,-1.587,-1.160,-0.702,86.667,15917.000,1.000
-126.635,-54.298,-63.196,-401.110,-158.532,-146.336,-197.321,-58.564,-0.145,0.733,0.669,-1.648,-1.434,-0.793,86.667,15918.000,1.000
-112.045,-46.027,-61.513,-490.673,-177.503,-160.557,-211.685,-56.856,-0.146,0.734,0.667,-1.587,-1.740,-0.763,86.667,15919.000,1.000
-77.283,-29.472,-49.904,-518.854,-167.770,-148.879,-190.628,-45.454,-0.147,0.735,0.667,-1.526,-2.045,-0.763,86.667,15920.000,1.000
-32.579,-9.066,-31.178,-482.335,-131.318,-114.218,-139.934,-27.063,-0.146,0.732,0.668,-1.556,-2.228,-0.702,86.667,15921.000,1.000
9.778,10.064,-10.026,-396.533,-78.120,-66.210,-74.002,-6.162,-0.147,0.731,0.668,-1.526,-2.472,-0.549,86.667,15922.000,1.000
40.560,23.971,8.522,-289.173,-22.611,-17.701,-10.040,12.418,-0.148,0.732,0.665,-1.434,-2.625,-0.549,86.667,15923.000,1.000
57.063,31.468,21.483,-185.087,24.149,21.933,40.257,25.983,-0.146,0.733,0.667,-1.434,-2.747,-0.519,86.667,15924.000,1.000
62.582,34.015,29.066,-94.159,59.755,50.940,75.140,35.049,-0.145,0.733,0.667,-1.282,-3.052,-0.397,86.667,15925.000,1.000
62.673,34.036,33.412,-13.030,87.972,72.799,99.647,41.623,-0.144,0.733,0.665,-1.434,-3.174,-0.244,86.667,15926.000,1.000
61.092,33.120,36.152,62.493,111.420,90.036,118.277,46.496,-0.144,0.735,0.662,-1.373,-3.235,0.000,86.667,15927.000,1.000
58.373,31.469,37.345,128.635,127.849,101.241,131.045,48.648,-0.143,0.735,0.663,-1.221,-3.296,0.183,86.667,15928.000,1.000
53.639,28.751,36.636,177.676,133.830,104.250,136.169,47.288,-0.141,0.736,0.661,-1.251,-3.326,0.336,86.667,15929.000,1.000
46.947,24.967,34.408,207.493,130.050,100.262,134.392,43.409,-0.138,0.736,0.661,-1.068,-3.174,0.610,86.667,15930.000,1.000
